type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	6.22020540825502E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=170) [1/sr]
0	0	0	170	5.17171102709215E-02
0	0	5	170	4.98427365665022E-02
0	0	10	170	4.48730745721279E-02
0	0	15	170	3.83434111521795E-02
0	0	20	170	3.18098153881477E-02
0	0	25	170	2.62611790898878E-02
0	0	30	170	2.20489496959823E-02
0	0	35	170	1.91078823302896E-02
0	0	40	170	1.71907792806719E-02
0	0	45	170	1.60063846925366E-02
0	0	50	170	1.52753213411566E-02
0	0	55	170	1.47530260493109E-02
0	0	60	170	1.42529896291088E-02
0	0	65	170	1.36734869769753E-02
0	0	70	170	1.30091179148375E-02
0	0	75	170	1.23315559943984E-02
0	0	80	170	1.17468928408594E-02
0	0	85	170	1.13531062774554E-02
0	0	89.9	170	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=180) [1/sr]
0	0	0	180	5.17171102709215E-02
0	0	5	180	4.98427365665022E-02
0	0	10	180	4.48730745721279E-02
0	0	15	180	3.83434111521795E-02
0	0	20	180	3.18098153881477E-02
0	0	25	180	2.62611790898878E-02
0	0	30	180	2.20489496959823E-02
0	0	35	180	1.91078823302895E-02
0	0	40	180	1.71907792806719E-02
0	0	45	180	1.60063846925366E-02
0	0	50	180	1.52753213411566E-02
0	0	55	180	1.47530260493109E-02
0	0	60	180	1.42529896291088E-02
0	0	65	180	1.36734869769753E-02
0	0	70	180	1.30091179148375E-02
0	0	75	180	1.23315559943984E-02
0	0	80	180	1.17468928408594E-02
0	0	85	180	1.13531062774553E-02
0	0	89.9	180	1.12146035415456E-02
AOI	10	deg.
FRED TIS integral (0-1)	0.064496379926107
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=0) [1/sr]
10	0	0	0	4.48730745721279E-02
10	0	5	0	5.09754911308507E-02
10	0	10	0	5.37908078944473E-02
10	0	15	0	5.24366280738866E-02
10	0	20	0	4.76701327940125E-02
10	0	25	0	4.13147385612641E-02
10	0	30	0	3.51326114590276E-02
10	0	35	0	3.01494995886948E-02
10	0	40	0	2.66576044424184E-02
10	0	45	0	2.45107540040187E-02
10	0	50	0	2.33752874509794E-02
10	0	55	0	2.28603713884926E-02
10	0	60	0	2.25880543111628E-02
10	0	65	0	2.22631191789117E-02
10	0	70	0	2.17423067781363E-02
10	0	75	0	2.10571862711962E-02
10	0	80	0	2.03642666019442E-02
10	0	85	0	1.98530400227572E-02
10	0	89.9	0	1.96656052774237E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=10) [1/sr]
10	0	0	10	4.48730745721279E-02
10	0	5	10	5.08488043340454E-02
10	0	10	10	5.35276361846009E-02
10	0	15	10	5.20724465748993E-02
10	0	20	10	4.72660582479879E-02
10	0	25	10	4.09242467564683E-02
10	0	30	10	3.47830241302855E-02
10	0	35	10	2.98442772162956E-02
10	0	40	10	2.63872633997183E-02
10	0	45	10	2.42619145736323E-02
10	0	50	10	2.31354146164394E-02
10	0	55	10	2.26197436978205E-02
10	0	60	10	2.23405706629783E-02
10	0	65	10	2.20064847426436E-02
10	0	70	10	2.14774465290816E-02
10	0	75	10	2.07868450088315E-02
10	0	80	10	2.00913245180822E-02
10	0	85	10	1.95793537589196E-02
10	0	89.9	10	1.93918393436765E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=20) [1/sr]
10	0	0	20	4.48730745721279E-02
10	0	5	20	5.04751179297935E-02
10	0	10	20	5.27567707332561E-02
10	0	15	20	5.10128774022885E-02
10	0	20	20	4.60976407651338E-02
10	0	25	20	3.98011915848033E-02
10	0	30	20	3.37821663823235E-02
10	0	35	20	2.89735073580705E-02
10	0	40	20	0.02561777322122
10	0	45	20	2.35543129387391E-02
10	0	50	20	2.24532508076866E-02
10	0	55	20	2.19351213778797E-02
10	0	60	20	2.16364640930368E-02
10	0	65	20	0.021277155990979
10	0	70	20	2.07264349660789E-02
10	0	75	20	2.00225380399989E-02
10	0	80	20	1.93218799919877E-02
10	0	85	20	1.88094116930224E-02
10	0	89.9	20	1.86222536763211E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=30) [1/sr]
10	0	0	30	4.48730745721279E-02
10	0	5	30	4.98729512243025E-02
10	0	10	30	5.15314278281855E-02
10	0	15	30	4.93505411200405E-02
10	0	20	30	4.42862645010864E-02
10	0	25	30	3.80782601831261E-02
10	0	30	30	3.22602085654934E-02
10	0	35	30	2.76584952254681E-02
10	0	40	30	2.44609931725865E-02
10	0	45	30	2.24926435416229E-02
10	0	50	30	2.14295734786692E-02
10	0	55	30	2.09067989031758E-02
10	0	60	30	0.020578879788807
10	0	65	30	2.01839916147595E-02
10	0	70	30	1.96056263477424E-02
10	0	75	30	1.88883227704381E-02
10	0	80	30	1.81863759305298E-02
10	0	85	30	1.76777421441879E-02
10	0	89.9	30	1.74927643548604E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=40) [1/sr]
10	0	0	40	4.48730745721279E-02
10	0	5	40	4.90712629834732E-02
10	0	10	40	4.99318806015644E-02
10	0	15	40	4.72208072785243E-02
10	0	20	40	0.042004571647027
10	0	25	40	3.59399903411021E-02
10	0	30	40	3.03951230467018E-02
10	0	35	40	2.60631834812911E-02
10	0	40	40	2.30671288212181E-02
10	0	45	40	2.12171713320029E-02
10	0	50	40	2.01994467728245E-02
10	0	55	40	1.96693027507419E-02
10	0	60	40	1.93059925087186E-02
10	0	65	40	1.88720516921131E-02
10	0	70	40	1.82686270488975E-02
10	0	75	40	0.017546111921984
10	0	80	40	1.68532454340521E-02
10	0	85	40	1.63567585657605E-02
10	0	89.9	40	0.016177098941625
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=50) [1/sr]
10	0	0	50	4.48730745721279E-02
10	0	5	50	4.81069226607247E-02
10	0	10	50	4.80549834587668E-02
10	0	15	50	4.47794322066908E-02
10	0	20	50	3.94431641809101E-02
10	0	25	50	0.033583239926455
10	0	30	50	2.83718061332746E-02
10	0	35	50	2.43548398040762E-02
10	0	40	50	2.15878931260257E-02
10	0	45	50	1.98690702790176E-02
10	0	50	50	1.88988962090222E-02
10	0	55	50	1.83583061214415E-02
10	0	60	50	1.79568967514881E-02
10	0	65	50	0.017486179179453
10	0	70	50	1.68666042178258E-02
10	0	75	50	1.61524262063727E-02
10	0	80	50	1.54826023116436E-02
10	0	85	50	1.50084439414679E-02
10	0	89.9	50	1.48377916156642E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=60) [1/sr]
10	0	0	60	4.48730745721279E-02
10	0	5	60	0.047021748298432
10	0	10	60	4.60030285440149E-02
10	0	15	60	4.21807324698025E-02
10	0	20	60	3.67804917159089E-02
10	0	25	60	3.11836547786759E-02
10	0	30	60	2.63490668145367E-02
10	0	35	60	2.26733515671874E-02
10	0	40	60	2.01482635146764E-02
10	0	45	60	1.85640307009197E-02
10	0	50	60	1.76395253630987E-02
10	0	55	60	1.70853983885501E-02
10	0	60	60	1.66457331279555E-02
10	0	65	60	1.61438602779582E-02
10	0	70	60	1.55195999916399E-02
10	0	75	60	1.48283018174479E-02
10	0	80	60	1.41951663661671E-02
10	0	85	60	1.37527602039571E-02
10	0	89.9	60	1.35944414695672E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=10, AZI=70) [1/sr]
10	0	0	70	4.48730745721279E-02
10	0	5	70	4.58595212598186E-02
10	0	10	70	4.38740000256542E-02
10	0	15	70	3.95609328179442E-02
10	0	20	70	3.41627239712894E-02
10	0	25	70	2.88758168245527E-02
10	0	30	70	2.44419557792239E-02
10	0	35	70	2.11159258143737E-02
10	0	40	70	1.88329663011221E-02
10	0	45	70	1.73798115579104E-02
10	0	50	70	0.016496536622089
10	0	55	70	1.59261592692743E-02
10	0	60	70	1.54496321127205E-02
10	0	65	70	1.49231340088021E-02
10	0	70	70	1.43047441391762E-02
